id,category,variant_name,type,pattern,scenario,impact,example
29,Governance capture,Governance capture Variant 29,Token voting dominance,Delegates can re-route votes without limit,Governance capture variant #29: Token voting dominance resulting from Delegates can re-route votes without limit. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
30,Governance capture,Governance capture Variant 30,Whale proposal hijack,Delegates can re-route votes without limit,Governance capture variant #30: Whale proposal hijack resulting from Delegates can re-route votes without limit. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
31,Governance capture,Governance capture Variant 31,Whale proposal hijack,Flash-loan voting not blocked,Governance capture variant #31: Whale proposal hijack resulting from Flash-loan voting not blocked. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
32,Governance capture,Governance capture Variant 32,Token voting dominance,Flash-loan voting not blocked,Governance capture variant #32: Token voting dominance resulting from Flash-loan voting not blocked. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
33,Governance capture,Governance capture Variant 33,Delegation abuse,No snapshot mechanism,Governance capture variant #33: Delegation abuse resulting from No snapshot mechanism. Exploited to forced malicious proposals.,Forced malicious proposals,Dominant whale forces upgrade to malicious contract.
34,Governance capture,Governance capture Variant 34,Delegation abuse,Governance relies on raw token balance,Governance capture variant #34: Delegation abuse resulting from Governance relies on raw token balance. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
35,Governance capture,Governance capture Variant 35,Flash-loan governance attack,No snapshot mechanism,Governance capture variant #35: Flash-loan governance attack resulting from No snapshot mechanism. Exploited to forced malicious proposals.,Forced malicious proposals,Borrowing tokens via flash-loan to pass proposal.
36,Governance capture,Governance capture Variant 36,Whale proposal hijack,Delegates can re-route votes without limit,Governance capture variant #36: Whale proposal hijack resulting from Delegates can re-route votes without limit. Exploited to forced malicious proposals.,Forced malicious proposals,Borrowing tokens via flash-loan to pass proposal.
37,Governance capture,Governance capture Variant 37,Borrowed voting power,Flash-loan voting not blocked,Governance capture variant #37: Borrowed voting power resulting from Flash-loan voting not blocked. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
38,Governance capture,Governance capture Variant 38,Delegation abuse,Flash-loan voting not blocked,Governance capture variant #38: Delegation abuse resulting from Flash-loan voting not blocked. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
39,Governance capture,Governance capture Variant 39,Whale proposal hijack,Delegates can re-route votes without limit,Governance capture variant #39: Whale proposal hijack resulting from Delegates can re-route votes without limit. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
40,Governance capture,Governance capture Variant 40,Whale proposal hijack,Governance relies on raw token balance,Governance capture variant #40: Whale proposal hijack resulting from Governance relies on raw token balance. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
41,Governance capture,Governance capture Variant 41,Token voting dominance,Delegates can re-route votes without limit,Governance capture variant #41: Token voting dominance resulting from Delegates can re-route votes without limit. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
42,Governance capture,Governance capture Variant 42,Flash-loan governance attack,Delegates can re-route votes without limit,Governance capture variant #42: Flash-loan governance attack resulting from Delegates can re-route votes without limit. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
43,Governance capture,Governance capture Variant 43,Whale proposal hijack,Flash-loan voting not blocked,Governance capture variant #43: Whale proposal hijack resulting from Flash-loan voting not blocked. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
44,Governance capture,Governance capture Variant 44,Token voting dominance,Delegates can re-route votes without limit,Governance capture variant #44: Token voting dominance resulting from Delegates can re-route votes without limit. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
45,Governance capture,Governance capture Variant 45,Token voting dominance,Governance relies on raw token balance,Governance capture variant #45: Token voting dominance resulting from Governance relies on raw token balance. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
46,Governance capture,Governance capture Variant 46,Delegation abuse,Delegates can re-route votes without limit,Governance capture variant #46: Delegation abuse resulting from Delegates can re-route votes without limit. Exploited to hostile takeover of governance.,Hostile takeover of governance,Borrowing tokens via flash-loan to pass proposal.
47,Governance capture,Governance capture Variant 47,Delegation abuse,Delegates can re-route votes without limit,Governance capture variant #47: Delegation abuse resulting from Delegates can re-route votes without limit. Exploited to forced malicious proposals.,Forced malicious proposals,Dominant whale forces upgrade to malicious contract.
48,Governance capture,Governance capture Variant 48,Delegation abuse,No snapshot mechanism,Governance capture variant #48: Delegation abuse resulting from No snapshot mechanism. Exploited to forced malicious proposals.,Forced malicious proposals,Borrowing tokens via flash-loan to pass proposal.
49,Governance capture,Governance capture Variant 49,Borrowed voting power,Delegates can re-route votes without limit,Governance capture variant #49: Borrowed voting power resulting from Delegates can re-route votes without limit. Exploited to forced malicious proposals.,Forced malicious proposals,Borrowing tokens via flash-loan to pass proposal.
50,Governance capture,Governance capture Variant 50,Borrowed voting power,Governance relies on raw token balance,Governance capture variant #50: Borrowed voting power resulting from Governance relies on raw token balance. Exploited to forced malicious proposals.,Forced malicious proposals,Borrowing tokens via flash-loan to pass proposal.
51,Governance capture,Governance capture Variant 51,Whale proposal hijack,Flash-loan voting not blocked,Governance capture variant #51: Whale proposal hijack resulting from Flash-loan voting not blocked. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
52,Governance capture,Governance capture Variant 52,Borrowed voting power,No snapshot mechanism,Governance capture variant #52: Borrowed voting power resulting from No snapshot mechanism. Exploited to hostile takeover of governance.,Hostile takeover of governance,Borrowing tokens via flash-loan to pass proposal.
53,Governance capture,Governance capture Variant 53,Whale proposal hijack,Delegates can re-route votes without limit,Governance capture variant #53: Whale proposal hijack resulting from Delegates can re-route votes without limit. Exploited to forced malicious proposals.,Forced malicious proposals,Dominant whale forces upgrade to malicious contract.
54,Governance capture,Governance capture Variant 54,Flash-loan governance attack,Flash-loan voting not blocked,Governance capture variant #54: Flash-loan governance attack resulting from Flash-loan voting not blocked. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
55,Governance capture,Governance capture Variant 55,Token voting dominance,Flash-loan voting not blocked,Governance capture variant #55: Token voting dominance resulting from Flash-loan voting not blocked. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
56,Governance capture,Governance capture Variant 56,Delegation abuse,No snapshot mechanism,Governance capture variant #56: Delegation abuse resulting from No snapshot mechanism. Exploited to forced malicious proposals.,Forced malicious proposals,Borrowing tokens via flash-loan to pass proposal.
57,Governance capture,Governance capture Variant 57,Borrowed voting power,Flash-loan voting not blocked,Governance capture variant #57: Borrowed voting power resulting from Flash-loan voting not blocked. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
58,Governance capture,Governance capture Variant 58,Borrowed voting power,Flash-loan voting not blocked,Governance capture variant #58: Borrowed voting power resulting from Flash-loan voting not blocked. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
59,Governance capture,Governance capture Variant 59,Whale proposal hijack,Governance relies on raw token balance,Governance capture variant #59: Whale proposal hijack resulting from Governance relies on raw token balance. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
60,Governance capture,Governance capture Variant 60,Token voting dominance,Governance relies on raw token balance,Governance capture variant #60: Token voting dominance resulting from Governance relies on raw token balance. Exploited to forced malicious proposals.,Forced malicious proposals,Dominant whale forces upgrade to malicious contract.
61,Governance capture,Governance capture Variant 61,Whale proposal hijack,Flash-loan voting not blocked,Governance capture variant #61: Whale proposal hijack resulting from Flash-loan voting not blocked. Exploited to forced malicious proposals.,Forced malicious proposals,Dominant whale forces upgrade to malicious contract.
62,Governance capture,Governance capture Variant 62,Whale proposal hijack,No snapshot mechanism,Governance capture variant #62: Whale proposal hijack resulting from No snapshot mechanism. Exploited to forced malicious proposals.,Forced malicious proposals,Borrowing tokens via flash-loan to pass proposal.
63,Governance capture,Governance capture Variant 63,Whale proposal hijack,Governance relies on raw token balance,Governance capture variant #63: Whale proposal hijack resulting from Governance relies on raw token balance. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
64,Governance capture,Governance capture Variant 64,Token voting dominance,Governance relies on raw token balance,Governance capture variant #64: Token voting dominance resulting from Governance relies on raw token balance. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
65,Governance capture,Governance capture Variant 65,Delegation abuse,No snapshot mechanism,Governance capture variant #65: Delegation abuse resulting from No snapshot mechanism. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
66,Governance capture,Governance capture Variant 66,Flash-loan governance attack,No snapshot mechanism,Governance capture variant #66: Flash-loan governance attack resulting from No snapshot mechanism. Exploited to forced malicious proposals.,Forced malicious proposals,Dominant whale forces upgrade to malicious contract.
67,Governance capture,Governance capture Variant 67,Token voting dominance,Flash-loan voting not blocked,Governance capture variant #67: Token voting dominance resulting from Flash-loan voting not blocked. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
68,Governance capture,Governance capture Variant 68,Token voting dominance,Delegates can re-route votes without limit,Governance capture variant #68: Token voting dominance resulting from Delegates can re-route votes without limit. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
69,Governance capture,Governance capture Variant 69,Token voting dominance,Delegates can re-route votes without limit,Governance capture variant #69: Token voting dominance resulting from Delegates can re-route votes without limit. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
70,Governance capture,Governance capture Variant 70,Delegation abuse,Delegates can re-route votes without limit,Governance capture variant #70: Delegation abuse resulting from Delegates can re-route votes without limit. Exploited to forced malicious proposals.,Forced malicious proposals,Borrowing tokens via flash-loan to pass proposal.
71,Governance capture,Governance capture Variant 71,Delegation abuse,Governance relies on raw token balance,Governance capture variant #71: Delegation abuse resulting from Governance relies on raw token balance. Exploited to hostile takeover of governance.,Hostile takeover of governance,Borrowing tokens via flash-loan to pass proposal.
72,Governance capture,Governance capture Variant 72,Whale proposal hijack,Delegates can re-route votes without limit,Governance capture variant #72: Whale proposal hijack resulting from Delegates can re-route votes without limit. Exploited to hostile takeover of governance.,Hostile takeover of governance,Borrowing tokens via flash-loan to pass proposal.
73,Governance capture,Governance capture Variant 73,Whale proposal hijack,Governance relies on raw token balance,Governance capture variant #73: Whale proposal hijack resulting from Governance relies on raw token balance. Exploited to hostile takeover of governance.,Hostile takeover of governance,Borrowing tokens via flash-loan to pass proposal.
74,Governance capture,Governance capture Variant 74,Flash-loan governance attack,Flash-loan voting not blocked,Governance capture variant #74: Flash-loan governance attack resulting from Flash-loan voting not blocked. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
75,Governance capture,Governance capture Variant 75,Delegation abuse,No snapshot mechanism,Governance capture variant #75: Delegation abuse resulting from No snapshot mechanism. Exploited to forced malicious proposals.,Forced malicious proposals,Dominant whale forces upgrade to malicious contract.
76,Governance capture,Governance capture Variant 76,Token voting dominance,Flash-loan voting not blocked,Governance capture variant #76: Token voting dominance resulting from Flash-loan voting not blocked. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
77,Governance capture,Governance capture Variant 77,Whale proposal hijack,Flash-loan voting not blocked,Governance capture variant #77: Whale proposal hijack resulting from Flash-loan voting not blocked. Exploited to forced malicious proposals.,Forced malicious proposals,Dominant whale forces upgrade to malicious contract.
78,Governance capture,Governance capture Variant 78,Flash-loan governance attack,Governance relies on raw token balance,Governance capture variant #78: Flash-loan governance attack resulting from Governance relies on raw token balance. Exploited to forced malicious proposals.,Forced malicious proposals,Borrowing tokens via flash-loan to pass proposal.
79,Governance capture,Governance capture Variant 79,Whale proposal hijack,Governance relies on raw token balance,Governance capture variant #79: Whale proposal hijack resulting from Governance relies on raw token balance. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
80,Governance capture,Governance capture Variant 80,Whale proposal hijack,No snapshot mechanism,Governance capture variant #80: Whale proposal hijack resulting from No snapshot mechanism. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
81,Governance capture,Governance capture Variant 81,Token voting dominance,Delegates can re-route votes without limit,Governance capture variant #81: Token voting dominance resulting from Delegates can re-route votes without limit. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
82,Governance capture,Governance capture Variant 82,Flash-loan governance attack,No snapshot mechanism,Governance capture variant #82: Flash-loan governance attack resulting from No snapshot mechanism. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
83,Governance capture,Governance capture Variant 83,Token voting dominance,No snapshot mechanism,Governance capture variant #83: Token voting dominance resulting from No snapshot mechanism. Exploited to forced malicious proposals.,Forced malicious proposals,Borrowing tokens via flash-loan to pass proposal.
84,Governance capture,Governance capture Variant 84,Token voting dominance,Delegates can re-route votes without limit,Governance capture variant #84: Token voting dominance resulting from Delegates can re-route votes without limit. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
85,Governance capture,Governance capture Variant 85,Whale proposal hijack,Governance relies on raw token balance,Governance capture variant #85: Whale proposal hijack resulting from Governance relies on raw token balance. Exploited to hostile takeover of governance.,Hostile takeover of governance,Borrowing tokens via flash-loan to pass proposal.
86,Governance capture,Governance capture Variant 86,Borrowed voting power,No snapshot mechanism,Governance capture variant #86: Borrowed voting power resulting from No snapshot mechanism. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
87,Governance capture,Governance capture Variant 87,Flash-loan governance attack,Flash-loan voting not blocked,Governance capture variant #87: Flash-loan governance attack resulting from Flash-loan voting not blocked. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
88,Governance capture,Governance capture Variant 88,Borrowed voting power,No snapshot mechanism,Governance capture variant #88: Borrowed voting power resulting from No snapshot mechanism. Exploited to hostile takeover of governance.,Hostile takeover of governance,Borrowing tokens via flash-loan to pass proposal.
89,Governance capture,Governance capture Variant 89,Delegation abuse,No snapshot mechanism,Governance capture variant #89: Delegation abuse resulting from No snapshot mechanism. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
90,Governance capture,Governance capture Variant 90,Whale proposal hijack,Governance relies on raw token balance,Governance capture variant #90: Whale proposal hijack resulting from Governance relies on raw token balance. Exploited to forced malicious proposals.,Forced malicious proposals,Dominant whale forces upgrade to malicious contract.
91,Governance capture,Governance capture Variant 91,Borrowed voting power,Governance relies on raw token balance,Governance capture variant #91: Borrowed voting power resulting from Governance relies on raw token balance. Exploited to forced malicious proposals.,Forced malicious proposals,Dominant whale forces upgrade to malicious contract.
92,Governance capture,Governance capture Variant 92,Token voting dominance,No snapshot mechanism,Governance capture variant #92: Token voting dominance resulting from No snapshot mechanism. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
93,Governance capture,Governance capture Variant 93,Flash-loan governance attack,Governance relies on raw token balance,Governance capture variant #93: Flash-loan governance attack resulting from Governance relies on raw token balance. Exploited to forced malicious proposals.,Forced malicious proposals,Dominant whale forces upgrade to malicious contract.
94,Governance capture,Governance capture Variant 94,Flash-loan governance attack,Delegates can re-route votes without limit,Governance capture variant #94: Flash-loan governance attack resulting from Delegates can re-route votes without limit. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
95,Governance capture,Governance capture Variant 95,Borrowed voting power,No snapshot mechanism,Governance capture variant #95: Borrowed voting power resulting from No snapshot mechanism. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
96,Governance capture,Governance capture Variant 96,Whale proposal hijack,Delegates can re-route votes without limit,Governance capture variant #96: Whale proposal hijack resulting from Delegates can re-route votes without limit. Exploited to forced malicious proposals.,Forced malicious proposals,Borrowing tokens via flash-loan to pass proposal.
97,Governance capture,Governance capture Variant 97,Borrowed voting power,Governance relies on raw token balance,Governance capture variant #97: Borrowed voting power resulting from Governance relies on raw token balance. Exploited to forced malicious proposals.,Forced malicious proposals,Dominant whale forces upgrade to malicious contract.
98,Governance capture,Governance capture Variant 98,Token voting dominance,Flash-loan voting not blocked,Governance capture variant #98: Token voting dominance resulting from Flash-loan voting not blocked. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
99,Governance capture,Governance capture Variant 99,Borrowed voting power,Delegates can re-route votes without limit,Governance capture variant #99: Borrowed voting power resulting from Delegates can re-route votes without limit. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
100,Governance capture,Governance capture Variant 100,Token voting dominance,No snapshot mechanism,Governance capture variant #100: Token voting dominance resulting from No snapshot mechanism. Exploited to hostile takeover of governance.,Hostile takeover of governance,Borrowing tokens via flash-loan to pass proposal.
101,Governance capture,Governance capture Variant 101,Token voting dominance,Flash-loan voting not blocked,Governance capture variant #101: Token voting dominance resulting from Flash-loan voting not blocked. Exploited to forced malicious proposals.,Forced malicious proposals,Borrowing tokens via flash-loan to pass proposal.
102,Governance capture,Governance capture Variant 102,Flash-loan governance attack,Governance relies on raw token balance,Governance capture variant #102: Flash-loan governance attack resulting from Governance relies on raw token balance. Exploited to forced malicious proposals.,Forced malicious proposals,Borrowing tokens via flash-loan to pass proposal.
103,Governance capture,Governance capture Variant 103,Whale proposal hijack,No snapshot mechanism,Governance capture variant #103: Whale proposal hijack resulting from No snapshot mechanism. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
104,Governance capture,Governance capture Variant 104,Borrowed voting power,No snapshot mechanism,Governance capture variant #104: Borrowed voting power resulting from No snapshot mechanism. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
105,Governance capture,Governance capture Variant 105,Borrowed voting power,No snapshot mechanism,Governance capture variant #105: Borrowed voting power resulting from No snapshot mechanism. Exploited to hostile takeover of governance.,Hostile takeover of governance,Borrowing tokens via flash-loan to pass proposal.
106,Governance capture,Governance capture Variant 106,Flash-loan governance attack,No snapshot mechanism,Governance capture variant #106: Flash-loan governance attack resulting from No snapshot mechanism. Exploited to forced malicious proposals.,Forced malicious proposals,Dominant whale forces upgrade to malicious contract.
107,Governance capture,Governance capture Variant 107,Token voting dominance,Governance relies on raw token balance,Governance capture variant #107: Token voting dominance resulting from Governance relies on raw token balance. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
108,Governance capture,Governance capture Variant 108,Whale proposal hijack,Governance relies on raw token balance,Governance capture variant #108: Whale proposal hijack resulting from Governance relies on raw token balance. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
109,Governance capture,Governance capture Variant 109,Delegation abuse,Governance relies on raw token balance,Governance capture variant #109: Delegation abuse resulting from Governance relies on raw token balance. Exploited to attacker controls protocol.,Attacker controls protocol,Borrowing tokens via flash-loan to pass proposal.
110,Governance capture,Governance capture Variant 110,Borrowed voting power,Governance relies on raw token balance,Governance capture variant #110: Borrowed voting power resulting from Governance relies on raw token balance. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
111,Governance capture,Governance capture Variant 111,Delegation abuse,No snapshot mechanism,Governance capture variant #111: Delegation abuse resulting from No snapshot mechanism. Exploited to forced malicious proposals.,Forced malicious proposals,Dominant whale forces upgrade to malicious contract.
112,Governance capture,Governance capture Variant 112,Delegation abuse,Flash-loan voting not blocked,Governance capture variant #112: Delegation abuse resulting from Flash-loan voting not blocked. Exploited to attacker controls protocol.,Attacker controls protocol,Dominant whale forces upgrade to malicious contract.
113,Governance capture,Governance capture Variant 113,Token voting dominance,Flash-loan voting not blocked,Governance capture variant #113: Token voting dominance resulting from Flash-loan voting not blocked. Exploited to hostile takeover of governance.,Hostile takeover of governance,Dominant whale forces upgrade to malicious contract.
114,Governance capture,Governance capture Variant 114,Token voting dominance,Governance relies on raw token balance,Governance capture variant #114: Token voting dominance resulting from Governance relies on raw token balance. Exploited to forced malicious proposals.,Forced malicious proposals,Borrowing tokens via flash-loan to pass proposal.
115,Governance capture,Governance capture Variant 115,Borrowed voting power,No snapshot mechanism,Governance capture variant #115: Borrowed voting power resulting from No snapshot mechanism. Exploited to hostile takeover of governance.,Hostile takeover of governance,Borrowing tokens via flash-loan to pass proposal.
