id,category,variant_name,type,pattern,scenario,impact,example
26,Reentrancy,Reentrancy Variant 26,Pull-payment reentrancy,External call inside loop,Reentrancy variant #26: Pull-payment reentrancy caused by External call inside loop. Exploited to complete balance drain.,Complete balance drain,Vault sends tokens before decreasing attacker balance.
27,Reentrancy,Reentrancy Variant 27,Recursive fallback reentrancy,Hooks triggered without control flow guard,Reentrancy variant #27: Recursive fallback reentrancy caused by Hooks triggered without control flow guard. Exploited to inflated share minting.,Inflated share minting,Cross-function reentry from deposit() into withdraw().
28,Reentrancy,Reentrancy Variant 28,ERC777-hook reentrancy,Recursive callback before mutation,Reentrancy variant #28: ERC777-hook reentrancy caused by Recursive callback before mutation. Exploited to bypassing access restrictions.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
29,Reentrancy,Reentrancy Variant 29,Pull-payment reentrancy,State updated after external call,Reentrancy variant #29: Pull-payment reentrancy caused by State updated after external call. Exploited to unauthorized repeated withdrawals.,Unauthorized repeated withdrawals,Vault sends tokens before decreasing attacker balance.
30,Reentrancy,Reentrancy Variant 30,Cross-function reentrancy,Multiple entry points sharing same state variable,Reentrancy variant #30: Cross-function reentrancy caused by Multiple entry points sharing same state variable. Exploited to complete balance drain.,Complete balance drain,Vault sends tokens before decreasing attacker balance.
31,Reentrancy,Reentrancy Variant 31,Read-only reentrancy,External call inside loop,Reentrancy variant #31: Read-only reentrancy caused by External call inside loop. Exploited to partial draining of pooled funds.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
32,Reentrancy,Reentrancy Variant 32,Recursive fallback reentrancy,Balance checked after transfer,Reentrancy variant #32: Recursive fallback reentrancy caused by Balance checked after transfer. Exploited to partial draining of pooled funds.,Partial draining of pooled funds,Cross-function reentry from deposit() into withdraw().
33,Reentrancy,Reentrancy Variant 33,Read-only reentrancy,Recursive callback before mutation,Reentrancy variant #33: Read-only reentrancy caused by Recursive callback before mutation. Exploited to inflated share minting.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
34,Reentrancy,Reentrancy Variant 34,Recursive fallback reentrancy,External call inside loop,Reentrancy variant #34: Recursive fallback reentrancy caused by External call inside loop. Exploited to draining rewards pool.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
35,Reentrancy,Reentrancy Variant 35,Pull-payment reentrancy,Unsafe external call to attacker contract,Reentrancy variant #35: Pull-payment reentrancy caused by Unsafe external call to attacker contract. Exploited to inflated share minting.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
36,Reentrancy,Reentrancy Variant 36,Read-only reentrancy,Hooks triggered without control flow guard,Reentrancy variant #36: Read-only reentrancy caused by Hooks triggered without control flow guard. Exploited to complete balance drain.,Complete balance drain,Cross-function reentry from deposit() into withdraw().
37,Reentrancy,Reentrancy Variant 37,Reentrancy via delegatecall,Fallback invoked before state lock,Reentrancy variant #37: Reentrancy via delegatecall caused by Fallback invoked before state lock. Exploited to draining rewards pool.,Draining rewards pool,Vault sends tokens before decreasing attacker balance.
38,Reentrancy,Reentrancy Variant 38,Recursive fallback reentrancy,Multiple entry points sharing same state variable,Reentrancy variant #38: Recursive fallback reentrancy caused by Multiple entry points sharing same state variable. Exploited to unauthorized repeated withdrawals.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
39,Reentrancy,Reentrancy Variant 39,Cross-function reentrancy,Fallback invoked before state lock,Reentrancy variant #39: Cross-function reentrancy caused by Fallback invoked before state lock. Exploited to draining rewards pool.,Draining rewards pool,Cross-function reentry from deposit() into withdraw().
40,Reentrancy,Reentrancy Variant 40,Single-function reentrancy,Hooks triggered without control flow guard,Reentrancy variant #40: Single-function reentrancy caused by Hooks triggered without control flow guard. Exploited to inflated share minting.,Inflated share minting,Vault sends tokens before decreasing attacker balance.
41,Reentrancy,Reentrancy Variant 41,Cross-function reentrancy,Balance checked after transfer,Reentrancy variant #41: Cross-function reentrancy caused by Balance checked after transfer. Exploited to inflated share minting.,Inflated share minting,Vault sends tokens before decreasing attacker balance.
42,Reentrancy,Reentrancy Variant 42,Single-function reentrancy,Fallback invoked before state lock,Reentrancy variant #42: Single-function reentrancy caused by Fallback invoked before state lock. Exploited to draining rewards pool.,Draining rewards pool,Cross-function reentry from deposit() into withdraw().
43,Reentrancy,Reentrancy Variant 43,Reentrancy via delegatecall,State updated after external call,Reentrancy variant #43: Reentrancy via delegatecall caused by State updated after external call. Exploited to unauthorized repeated withdrawals.,Unauthorized repeated withdrawals,Cross-function reentry from deposit() into withdraw().
44,Reentrancy,Reentrancy Variant 44,Single-function reentrancy,Balance checked after transfer,Reentrancy variant #44: Single-function reentrancy caused by Balance checked after transfer. Exploited to complete balance drain.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
45,Reentrancy,Reentrancy Variant 45,Cross-function reentrancy,Unsafe external call to attacker contract,Reentrancy variant #45: Cross-function reentrancy caused by Unsafe external call to attacker contract. Exploited to unauthorized repeated withdrawals.,Unauthorized repeated withdrawals,Vault sends tokens before decreasing attacker balance.
46,Reentrancy,Reentrancy Variant 46,ERC777-hook reentrancy,Hooks triggered without control flow guard,Reentrancy variant #46: ERC777-hook reentrancy caused by Hooks triggered without control flow guard. Exploited to draining rewards pool.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
47,Reentrancy,Reentrancy Variant 47,Pull-payment reentrancy,Hooks triggered without control flow guard,Reentrancy variant #47: Pull-payment reentrancy caused by Hooks triggered without control flow guard. Exploited to inflated share minting.,Inflated share minting,Vault sends tokens before decreasing attacker balance.
48,Reentrancy,Reentrancy Variant 48,ERC777-hook reentrancy,Multiple entry points sharing same state variable,Reentrancy variant #48: ERC777-hook reentrancy caused by Multiple entry points sharing same state variable. Exploited to partial draining of pooled funds.,Partial draining of pooled funds,Vault sends tokens before decreasing attacker balance.
49,Reentrancy,Reentrancy Variant 49,Read-only reentrancy,Recursive callback before mutation,Reentrancy variant #49: Read-only reentrancy caused by Recursive callback before mutation. Exploited to draining rewards pool.,Draining rewards pool,Cross-function reentry from deposit() into withdraw().
50,Reentrancy,Reentrancy Variant 50,Reentrancy via delegatecall,Recursive callback before mutation,Reentrancy variant #50: Reentrancy via delegatecall caused by Recursive callback before mutation. Exploited to inflated share minting.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
51,Reentrancy,Reentrancy Variant 51,Pull-payment reentrancy,Fallback invoked before state lock,Reentrancy variant #51: Pull-payment reentrancy caused by Fallback invoked before state lock. Exploited to unauthorized repeated withdrawals.,Unauthorized repeated withdrawals,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
52,Reentrancy,Reentrancy Variant 52,Recursive fallback reentrancy,Fallback invoked before state lock,Reentrancy variant #52: Recursive fallback reentrancy caused by Fallback invoked before state lock. Exploited to complete balance drain.,Complete balance drain,Cross-function reentry from deposit() into withdraw().
53,Reentrancy,Reentrancy Variant 53,Pull-payment reentrancy,Recursive callback before mutation,Reentrancy variant #53: Pull-payment reentrancy caused by Recursive callback before mutation. Exploited to draining rewards pool.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
54,Reentrancy,Reentrancy Variant 54,Recursive fallback reentrancy,Unsafe external call to attacker contract,Reentrancy variant #54: Recursive fallback reentrancy caused by Unsafe external call to attacker contract. Exploited to inflated share minting.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
55,Reentrancy,Reentrancy Variant 55,Cross-function reentrancy,Unsafe external call to attacker contract,Reentrancy variant #55: Cross-function reentrancy caused by Unsafe external call to attacker contract. Exploited to draining rewards pool.,Draining rewards pool,Vault sends tokens before decreasing attacker balance.
56,Reentrancy,Reentrancy Variant 56,Read-only reentrancy,Missing reentrancy guard,Reentrancy variant #56: Read-only reentrancy caused by Missing reentrancy guard. Exploited to bypassing access restrictions.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
57,Reentrancy,Reentrancy Variant 57,Cross-contract reentrancy,State updated after external call,Reentrancy variant #57: Cross-contract reentrancy caused by State updated after external call. Exploited to inflated share minting.,Inflated share minting,Vault sends tokens before decreasing attacker balance.
58,Reentrancy,Reentrancy Variant 58,Withdraw-before-update reentrancy,Hooks triggered without control flow guard,Reentrancy variant #58: Withdraw-before-update reentrancy caused by Hooks triggered without control flow guard. Exploited to partial draining of pooled funds.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
59,Reentrancy,Reentrancy Variant 59,Recursive fallback reentrancy,State updated after external call,Reentrancy variant #59: Recursive fallback reentrancy caused by State updated after external call. Exploited to bypassing access restrictions.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
60,Reentrancy,Reentrancy Variant 60,Read-only reentrancy,Fallback invoked before state lock,Reentrancy variant #60: Read-only reentrancy caused by Fallback invoked before state lock. Exploited to inflated share minting.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
61,Reentrancy,Reentrancy Variant 61,Cross-contract reentrancy,State updated after external call,Reentrancy variant #61: Cross-contract reentrancy caused by State updated after external call. Exploited to inflated share minting.,Inflated share minting,Vault sends tokens before decreasing attacker balance.
62,Reentrancy,Reentrancy Variant 62,Reentrancy via delegatecall,Recursive callback before mutation,Reentrancy variant #62: Reentrancy via delegatecall caused by Recursive callback before mutation. Exploited to draining rewards pool.,Draining rewards pool,Cross-function reentry from deposit() into withdraw().
63,Reentrancy,Reentrancy Variant 63,Cross-function reentrancy,Fallback invoked before state lock,Reentrancy variant #63: Cross-function reentrancy caused by Fallback invoked before state lock. Exploited to draining rewards pool.,Draining rewards pool,Vault sends tokens before decreasing attacker balance.
64,Reentrancy,Reentrancy Variant 64,Pull-payment reentrancy,State updated after external call,Reentrancy variant #64: Pull-payment reentrancy caused by State updated after external call. Exploited to unauthorized repeated withdrawals.,Unauthorized repeated withdrawals,Cross-function reentry from deposit() into withdraw().
65,Reentrancy,Reentrancy Variant 65,Cross-contract reentrancy,Unsafe external call to attacker contract,Reentrancy variant #65: Cross-contract reentrancy caused by Unsafe external call to attacker contract. Exploited to bypassing access restrictions.,Bypassing access restrictions,Cross-function reentry from deposit() into withdraw().
66,Reentrancy,Reentrancy Variant 66,Cross-contract reentrancy,State updated after external call,Reentrancy variant #66: Cross-contract reentrancy caused by State updated after external call. Exploited to unauthorized repeated withdrawals.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
67,Reentrancy,Reentrancy Variant 67,ERC777-hook reentrancy,Hooks triggered without control flow guard,Reentrancy variant #67: ERC777-hook reentrancy caused by Hooks triggered without control flow guard. Exploited to partial draining of pooled funds.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
68,Reentrancy,Reentrancy Variant 68,Withdraw-before-update reentrancy,Balance checked after transfer,Reentrancy variant #68: Withdraw-before-update reentrancy caused by Balance checked after transfer. Exploited to unauthorized repeated withdrawals.,Unauthorized repeated withdrawals,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
69,Reentrancy,Reentrancy Variant 69,Cross-function reentrancy,Fallback invoked before state lock,Reentrancy variant #69: Cross-function reentrancy caused by Fallback invoked before state lock. Exploited to unauthorized repeated withdrawals.,Unauthorized repeated withdrawals,Vault sends tokens before decreasing attacker balance.
70,Reentrancy,Reentrancy Variant 70,Read-only reentrancy,External call inside loop,Reentrancy variant #70: Read-only reentrancy caused by External call inside loop. Exploited to unauthorized repeated withdrawals.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
71,Reentrancy,Reentrancy Variant 71,Read-only reentrancy,Hooks triggered without control flow guard,Reentrancy variant #71: Read-only reentrancy caused by Hooks triggered without control flow guard. Exploited to draining rewards pool.,Draining rewards pool,Vault sends tokens before decreasing attacker balance.
72,Reentrancy,Reentrancy Variant 72,Single-function reentrancy,State updated after external call,Reentrancy variant #72: Single-function reentrancy caused by State updated after external call. Exploited to unauthorized repeated withdrawals.,Unauthorized repeated withdrawals,Vault sends tokens before decreasing attacker balance.
73,Reentrancy,Reentrancy Variant 73,Cross-contract reentrancy,Multiple entry points sharing same state variable,Reentrancy variant #73: Cross-contract reentrancy caused by Multiple entry points sharing same state variable. Exploited to unauthorized repeated withdrawals.,Unauthorized repeated withdrawals,Vault sends tokens before decreasing attacker balance.
74,Reentrancy,Reentrancy Variant 74,Cross-contract reentrancy,Multiple entry points sharing same state variable,Reentrancy variant #74: Cross-contract reentrancy caused by Multiple entry points sharing same state variable. Exploited to partial draining of pooled funds.,Partial draining of pooled funds,Cross-function reentry from deposit() into withdraw().
75,Reentrancy,Reentrancy Variant 75,Single-function reentrancy,External call inside loop,Reentrancy variant #75: Single-function reentrancy caused by External call inside loop. Exploited to inflated share minting.,Inflated share minting,Vault sends tokens before decreasing attacker balance.
76,Reentrancy,Reentrancy Variant 76,Withdraw-before-update reentrancy,External call inside loop,Reentrancy variant #76: Withdraw-before-update reentrancy caused by External call inside loop. Exploited to draining rewards pool.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
77,Reentrancy,Reentrancy Variant 77,Single-function reentrancy,Balance checked after transfer,Reentrancy variant #77: Single-function reentrancy caused by Balance checked after transfer. Exploited to inflated share minting.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
78,Reentrancy,Reentrancy Variant 78,Withdraw-before-update reentrancy,Recursive callback before mutation,Reentrancy variant #78: Withdraw-before-update reentrancy caused by Recursive callback before mutation. Exploited to bypassing access restrictions.,Bypassing access restrictions,Cross-function reentry from deposit() into withdraw().
79,Reentrancy,Reentrancy Variant 79,Recursive fallback reentrancy,Unsafe external call to attacker contract,Reentrancy variant #79: Recursive fallback reentrancy caused by Unsafe external call to attacker contract. Exploited to complete balance drain.,Complete balance drain,Vault sends tokens before decreasing attacker balance.
80,Reentrancy,Reentrancy Variant 80,Withdraw-before-update reentrancy,Missing reentrancy guard,Reentrancy variant #80: Withdraw-before-update reentrancy caused by Missing reentrancy guard. Exploited to partial draining of pooled funds.,Partial draining of pooled funds,Vault sends tokens before decreasing attacker balance.
81,Reentrancy,Reentrancy Variant 81,Cross-contract reentrancy,Fallback invoked before state lock,Reentrancy variant #81: Cross-contract reentrancy caused by Fallback invoked before state lock. Exploited to partial draining of pooled funds.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
82,Reentrancy,Reentrancy Variant 82,ERC777-hook reentrancy,Multiple entry points sharing same state variable,Reentrancy variant #82: ERC777-hook reentrancy caused by Multiple entry points sharing same state variable. Exploited to draining rewards pool.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
83,Reentrancy,Reentrancy Variant 83,Cross-contract reentrancy,Hooks triggered without control flow guard,Reentrancy variant #83: Cross-contract reentrancy caused by Hooks triggered without control flow guard. Exploited to partial draining of pooled funds.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
84,Reentrancy,Reentrancy Variant 84,Single-function reentrancy,Missing reentrancy guard,Reentrancy variant #84: Single-function reentrancy caused by Missing reentrancy guard. Exploited to partial draining of pooled funds.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
85,Reentrancy,Reentrancy Variant 85,Reentrancy via delegatecall,Multiple entry points sharing same state variable,Reentrancy variant #85: Reentrancy via delegatecall caused by Multiple entry points sharing same state variable. Exploited to unauthorized repeated withdrawals.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
86,Reentrancy,Reentrancy Variant 86,Reentrancy via delegatecall,Missing reentrancy guard,Reentrancy variant #86: Reentrancy via delegatecall caused by Missing reentrancy guard. Exploited to bypassing access restrictions.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
87,Reentrancy,Reentrancy Variant 87,Cross-contract reentrancy,Recursive callback before mutation,Reentrancy variant #87: Cross-contract reentrancy caused by Recursive callback before mutation. Exploited to unauthorized repeated withdrawals.,Unauthorized repeated withdrawals,Cross-function reentry from deposit() into withdraw().
88,Reentrancy,Reentrancy Variant 88,Pull-payment reentrancy,Multiple entry points sharing same state variable,Reentrancy variant #88: Pull-payment reentrancy caused by Multiple entry points sharing same state variable. Exploited to draining rewards pool.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
89,Reentrancy,Reentrancy Variant 89,Cross-function reentrancy,Balance checked after transfer,Reentrancy variant #89: Cross-function reentrancy caused by Balance checked after transfer. Exploited to draining rewards pool.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
90,Reentrancy,Reentrancy Variant 90,Reentrancy via delegatecall,Hooks triggered without control flow guard,Reentrancy variant #90: Reentrancy via delegatecall caused by Hooks triggered without control flow guard. Exploited to bypassing access restrictions.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
91,Reentrancy,Reentrancy Variant 91,Read-only reentrancy,Hooks triggered without control flow guard,Reentrancy variant #91: Read-only reentrancy caused by Hooks triggered without control flow guard. Exploited to inflated share minting.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
92,Reentrancy,Reentrancy Variant 92,Cross-function reentrancy,Multiple entry points sharing same state variable,Reentrancy variant #92: Cross-function reentrancy caused by Multiple entry points sharing same state variable. Exploited to inflated share minting.,Inflated share minting,Cross-function reentry from deposit() into withdraw().
93,Reentrancy,Reentrancy Variant 93,Cross-function reentrancy,Unsafe external call to attacker contract,Reentrancy variant #93: Cross-function reentrancy caused by Unsafe external call to attacker contract. Exploited to draining rewards pool.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
94,Reentrancy,Reentrancy Variant 94,Reentrancy via delegatecall,Multiple entry points sharing same state variable,Reentrancy variant #94: Reentrancy via delegatecall caused by Multiple entry points sharing same state variable. Exploited to bypassing access restrictions.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
95,Reentrancy,Reentrancy Variant 95,Cross-contract reentrancy,Multiple entry points sharing same state variable,Reentrancy variant #95: Cross-contract reentrancy caused by Multiple entry points sharing same state variable. Exploited to bypassing access restrictions.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
96,Reentrancy,Reentrancy Variant 96,Reentrancy via delegatecall,Hooks triggered without control flow guard,Reentrancy variant #96: Reentrancy via delegatecall caused by Hooks triggered without control flow guard. Exploited to complete balance drain.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
97,Reentrancy,Reentrancy Variant 97,Recursive fallback reentrancy,Missing reentrancy guard,Reentrancy variant #97: Recursive fallback reentrancy caused by Missing reentrancy guard. Exploited to bypassing access restrictions.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
98,Reentrancy,Reentrancy Variant 98,ERC777-hook reentrancy,Balance checked after transfer,Reentrancy variant #98: ERC777-hook reentrancy caused by Balance checked after transfer. Exploited to inflated share minting.,Inflated share minting,Vault sends tokens before decreasing attacker balance.
99,Reentrancy,Reentrancy Variant 99,Cross-function reentrancy,State updated after external call,Reentrancy variant #99: Cross-function reentrancy caused by State updated after external call. Exploited to complete balance drain.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
100,Reentrancy,Reentrancy Variant 100,Reentrancy via delegatecall,Recursive callback before mutation,Reentrancy variant #100: Reentrancy via delegatecall caused by Recursive callback before mutation. Exploited to partial draining of pooled funds.,Partial draining of pooled funds,Cross-function reentry from deposit() into withdraw().
101,Reentrancy,Reentrancy Variant 101,Cross-function reentrancy,Hooks triggered without control flow guard,Reentrancy variant #101: Cross-function reentrancy caused by Hooks triggered without control flow guard. Exploited to complete balance drain.,Complete balance drain,Cross-function reentry from deposit() into withdraw().
102,Reentrancy,Reentrancy Variant 102,Withdraw-before-update reentrancy,Missing reentrancy guard,Reentrancy variant #102: Withdraw-before-update reentrancy caused by Missing reentrancy guard. Exploited to inflated share minting.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
103,Reentrancy,Reentrancy Variant 103,Reentrancy via delegatecall,Balance checked after transfer,Reentrancy variant #103: Reentrancy via delegatecall caused by Balance checked after transfer. Exploited to draining rewards pool.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
104,Reentrancy,Reentrancy Variant 104,Cross-contract reentrancy,External call inside loop,Reentrancy variant #104: Cross-contract reentrancy caused by External call inside loop. Exploited to complete balance drain.,Complete balance drain,Vault sends tokens before decreasing attacker balance.
105,Reentrancy,Reentrancy Variant 105,Read-only reentrancy,Hooks triggered without control flow guard,Reentrancy variant #105: Read-only reentrancy caused by Hooks triggered without control flow guard. Exploited to bypassing access restrictions.,Bypassing access restrictions,Vault sends tokens before decreasing attacker balance.
106,Reentrancy,Reentrancy Variant 106,Read-only reentrancy,Recursive callback before mutation,Reentrancy variant #106: Read-only reentrancy caused by Recursive callback before mutation. Exploited to partial draining of pooled funds.,Partial draining of pooled funds,Vault sends tokens before decreasing attacker balance.
