id,category,variant_name,type,pattern,scenario,impact,example
60,JSON-RPC validation failure,JSON-RPC validation failure Variant 60,Malformed payload,Missing length limit on POST body,JSON-RPC validation failure variant #60: Malformed payload caused by Missing length limit on POST body. Exploited to memory exhaustion.,Memory exhaustion,Malformed eth_call payload bypasses validation.
61,JSON-RPC validation failure,JSON-RPC validation failure Variant 61,Missing parameter type check,RPC server does not validate JSON schema,JSON-RPC validation failure variant #61: Missing parameter type check caused by RPC server does not validate JSON schema. Exploited to remote code execution vector.,Remote code execution vector,Malformed eth_call payload bypasses validation.
62,JSON-RPC validation failure,JSON-RPC validation failure Variant 62,Truncated JSON injection,RPC server does not validate JSON schema,JSON-RPC validation failure variant #62: Truncated JSON injection caused by RPC server does not validate JSON schema. Exploited to incorrect transaction propagation.,Incorrect transaction propagation,Malformed eth_call payload bypasses validation.
63,JSON-RPC validation failure,JSON-RPC validation failure Variant 63,Malformed payload,RPC server does not validate JSON schema,JSON-RPC validation failure variant #63: Malformed payload caused by RPC server does not validate JSON schema. Exploited to remote code execution vector.,Remote code execution vector,Malformed eth_call payload bypasses validation.
64,JSON-RPC validation failure,JSON-RPC validation failure Variant 64,Truncated JSON injection,Missing length limit on POST body,JSON-RPC validation failure variant #64: Truncated JSON injection caused by Missing length limit on POST body. Exploited to memory exhaustion.,Memory exhaustion,Malformed eth_call payload bypasses validation.
65,JSON-RPC validation failure,JSON-RPC validation failure Variant 65,Oversized request body,Node accepts invalid hex payload,JSON-RPC validation failure variant #65: Oversized request body caused by Node accepts invalid hex payload. Exploited to memory exhaustion.,Memory exhaustion,Malformed eth_call payload bypasses validation.
66,JSON-RPC validation failure,JSON-RPC validation failure Variant 66,Oversized request body,Node accepts invalid hex payload,JSON-RPC validation failure variant #66: Oversized request body caused by Node accepts invalid hex payload. Exploited to incorrect transaction propagation.,Incorrect transaction propagation,Sending 50MB JSON body to exhaust RPC memory.
67,JSON-RPC validation failure,JSON-RPC validation failure Variant 67,Oversized request body,Missing length limit on POST body,JSON-RPC validation failure variant #67: Oversized request body caused by Missing length limit on POST body. Exploited to incorrect transaction propagation.,Incorrect transaction propagation,Malformed eth_call payload bypasses validation.
68,JSON-RPC validation failure,JSON-RPC validation failure Variant 68,Invalid method selector,Missing length limit on POST body,JSON-RPC validation failure variant #68: Invalid method selector caused by Missing length limit on POST body. Exploited to remote code execution vector.,Remote code execution vector,Malformed eth_call payload bypasses validation.
69,JSON-RPC validation failure,JSON-RPC validation failure Variant 69,Missing parameter type check,RPC server does not validate JSON schema,JSON-RPC validation failure variant #69: Missing parameter type check caused by RPC server does not validate JSON schema. Exploited to incorrect transaction propagation.,Incorrect transaction propagation,Sending 50MB JSON body to exhaust RPC memory.
70,JSON-RPC validation failure,JSON-RPC validation failure Variant 70,Missing parameter type check,RPC server does not validate JSON schema,JSON-RPC validation failure variant #70: Missing parameter type check caused by RPC server does not validate JSON schema. Exploited to incorrect transaction propagation.,Incorrect transaction propagation,Sending 50MB JSON body to exhaust RPC memory.
71,JSON-RPC validation failure,JSON-RPC validation failure Variant 71,Invalid method selector,RPC server does not validate JSON schema,JSON-RPC validation failure variant #71: Invalid method selector caused by RPC server does not validate JSON schema. Exploited to node crash.,Node crash,Malformed eth_call payload bypasses validation.
72,JSON-RPC validation failure,JSON-RPC validation failure Variant 72,Truncated JSON injection,No check on array sizes,JSON-RPC validation failure variant #72: Truncated JSON injection caused by No check on array sizes. Exploited to remote code execution vector.,Remote code execution vector,Malformed eth_call payload bypasses validation.
73,JSON-RPC validation failure,JSON-RPC validation failure Variant 73,Truncated JSON injection,RPC server does not validate JSON schema,JSON-RPC validation failure variant #73: Truncated JSON injection caused by RPC server does not validate JSON schema. Exploited to node crash.,Node crash,Malformed eth_call payload bypasses validation.
74,JSON-RPC validation failure,JSON-RPC validation failure Variant 74,Oversized request body,RPC server does not validate JSON schema,JSON-RPC validation failure variant #74: Oversized request body caused by RPC server does not validate JSON schema. Exploited to memory exhaustion.,Memory exhaustion,Sending 50MB JSON body to exhaust RPC memory.
75,JSON-RPC validation failure,JSON-RPC validation failure Variant 75,Oversized request body,No check on array sizes,JSON-RPC validation failure variant #75: Oversized request body caused by No check on array sizes. Exploited to node crash.,Node crash,Sending 50MB JSON body to exhaust RPC memory.
76,JSON-RPC validation failure,JSON-RPC validation failure Variant 76,Oversized request body,No check on array sizes,JSON-RPC validation failure variant #76: Oversized request body caused by No check on array sizes. Exploited to node crash.,Node crash,Malformed eth_call payload bypasses validation.
77,JSON-RPC validation failure,JSON-RPC validation failure Variant 77,Invalid method selector,Missing length limit on POST body,JSON-RPC validation failure variant #77: Invalid method selector caused by Missing length limit on POST body. Exploited to memory exhaustion.,Memory exhaustion,Malformed eth_call payload bypasses validation.
78,JSON-RPC validation failure,JSON-RPC validation failure Variant 78,Malformed payload,No check on array sizes,JSON-RPC validation failure variant #78: Malformed payload caused by No check on array sizes. Exploited to remote code execution vector.,Remote code execution vector,Malformed eth_call payload bypasses validation.
79,JSON-RPC validation failure,JSON-RPC validation failure Variant 79,Malformed payload,Missing length limit on POST body,JSON-RPC validation failure variant #79: Malformed payload caused by Missing length limit on POST body. Exploited to incorrect transaction propagation.,Incorrect transaction propagation,Sending 50MB JSON body to exhaust RPC memory.
80,JSON-RPC validation failure,JSON-RPC validation failure Variant 80,Oversized request body,Missing length limit on POST body,JSON-RPC validation failure variant #80: Oversized request body caused by Missing length limit on POST body. Exploited to node crash.,Node crash,Malformed eth_call payload bypasses validation.
81,JSON-RPC validation failure,JSON-RPC validation failure Variant 81,Malformed payload,Node accepts invalid hex payload,JSON-RPC validation failure variant #81: Malformed payload caused by Node accepts invalid hex payload. Exploited to remote code execution vector.,Remote code execution vector,Malformed eth_call payload bypasses validation.
82,JSON-RPC validation failure,JSON-RPC validation failure Variant 82,Missing parameter type check,Node accepts invalid hex payload,JSON-RPC validation failure variant #82: Missing parameter type check caused by Node accepts invalid hex payload. Exploited to memory exhaustion.,Memory exhaustion,Sending 50MB JSON body to exhaust RPC memory.
83,JSON-RPC validation failure,JSON-RPC validation failure Variant 83,Invalid method selector,Missing length limit on POST body,JSON-RPC validation failure variant #83: Invalid method selector caused by Missing length limit on POST body. Exploited to memory exhaustion.,Memory exhaustion,Sending 50MB JSON body to exhaust RPC memory.
84,JSON-RPC validation failure,JSON-RPC validation failure Variant 84,Malformed payload,Node accepts invalid hex payload,JSON-RPC validation failure variant #84: Malformed payload caused by Node accepts invalid hex payload. Exploited to memory exhaustion.,Memory exhaustion,Sending 50MB JSON body to exhaust RPC memory.
85,JSON-RPC validation failure,JSON-RPC validation failure Variant 85,Oversized request body,RPC server does not validate JSON schema,JSON-RPC validation failure variant #85: Oversized request body caused by RPC server does not validate JSON schema. Exploited to node crash.,Node crash,Sending 50MB JSON body to exhaust RPC memory.
86,JSON-RPC validation failure,JSON-RPC validation failure Variant 86,Malformed payload,Node accepts invalid hex payload,JSON-RPC validation failure variant #86: Malformed payload caused by Node accepts invalid hex payload. Exploited to remote code execution vector.,Remote code execution vector,Sending 50MB JSON body to exhaust RPC memory.
87,JSON-RPC validation failure,JSON-RPC validation failure Variant 87,Truncated JSON injection,Missing length limit on POST body,JSON-RPC validation failure variant #87: Truncated JSON injection caused by Missing length limit on POST body. Exploited to node crash.,Node crash,Sending 50MB JSON body to exhaust RPC memory.
88,JSON-RPC validation failure,JSON-RPC validation failure Variant 88,Truncated JSON injection,Missing length limit on POST body,JSON-RPC validation failure variant #88: Truncated JSON injection caused by Missing length limit on POST body. Exploited to memory exhaustion.,Memory exhaustion,Sending 50MB JSON body to exhaust RPC memory.
89,JSON-RPC validation failure,JSON-RPC validation failure Variant 89,Malformed payload,Node accepts invalid hex payload,JSON-RPC validation failure variant #89: Malformed payload caused by Node accepts invalid hex payload. Exploited to memory exhaustion.,Memory exhaustion,Sending 50MB JSON body to exhaust RPC memory.
90,JSON-RPC validation failure,JSON-RPC validation failure Variant 90,Missing parameter type check,Node accepts invalid hex payload,JSON-RPC validation failure variant #90: Missing parameter type check caused by Node accepts invalid hex payload. Exploited to incorrect transaction propagation.,Incorrect transaction propagation,Malformed eth_call payload bypasses validation.
91,JSON-RPC validation failure,JSON-RPC validation failure Variant 91,Missing parameter type check,No check on array sizes,JSON-RPC validation failure variant #91: Missing parameter type check caused by No check on array sizes. Exploited to node crash.,Node crash,Malformed eth_call payload bypasses validation.
92,JSON-RPC validation failure,JSON-RPC validation failure Variant 92,Truncated JSON injection,No check on array sizes,JSON-RPC validation failure variant #92: Truncated JSON injection caused by No check on array sizes. Exploited to memory exhaustion.,Memory exhaustion,Malformed eth_call payload bypasses validation.
93,JSON-RPC validation failure,JSON-RPC validation failure Variant 93,Truncated JSON injection,Missing length limit on POST body,JSON-RPC validation failure variant #93: Truncated JSON injection caused by Missing length limit on POST body. Exploited to node crash.,Node crash,Sending 50MB JSON body to exhaust RPC memory.
94,JSON-RPC validation failure,JSON-RPC validation failure Variant 94,Missing parameter type check,No check on array sizes,JSON-RPC validation failure variant #94: Missing parameter type check caused by No check on array sizes. Exploited to incorrect transaction propagation.,Incorrect transaction propagation,Sending 50MB JSON body to exhaust RPC memory.
95,JSON-RPC validation failure,JSON-RPC validation failure Variant 95,Oversized request body,Missing length limit on POST body,JSON-RPC validation failure variant #95: Oversized request body caused by Missing length limit on POST body. Exploited to node crash.,Node crash,Malformed eth_call payload bypasses validation.
96,JSON-RPC validation failure,JSON-RPC validation failure Variant 96,Malformed payload,No check on array sizes,JSON-RPC validation failure variant #96: Malformed payload caused by No check on array sizes. Exploited to memory exhaustion.,Memory exhaustion,Malformed eth_call payload bypasses validation.
97,JSON-RPC validation failure,JSON-RPC validation failure Variant 97,Missing parameter type check,No check on array sizes,JSON-RPC validation failure variant #97: Missing parameter type check caused by No check on array sizes. Exploited to incorrect transaction propagation.,Incorrect transaction propagation,Malformed eth_call payload bypasses validation.
98,JSON-RPC validation failure,JSON-RPC validation failure Variant 98,Invalid method selector,RPC server does not validate JSON schema,JSON-RPC validation failure variant #98: Invalid method selector caused by RPC server does not validate JSON schema. Exploited to memory exhaustion.,Memory exhaustion,Malformed eth_call payload bypasses validation.
99,JSON-RPC validation failure,JSON-RPC validation failure Variant 99,Malformed payload,RPC server does not validate JSON schema,JSON-RPC validation failure variant #99: Malformed payload caused by RPC server does not validate JSON schema. Exploited to remote code execution vector.,Remote code execution vector,Sending 50MB JSON body to exhaust RPC memory.
100,JSON-RPC validation failure,JSON-RPC validation failure Variant 100,Malformed payload,No check on array sizes,JSON-RPC validation failure variant #100: Malformed payload caused by No check on array sizes. Exploited to remote code execution vector.,Remote code execution vector,Sending 50MB JSON body to exhaust RPC memory.
101,JSON-RPC validation failure,JSON-RPC validation failure Variant 101,Malformed payload,RPC server does not validate JSON schema,JSON-RPC validation failure variant #101: Malformed payload caused by RPC server does not validate JSON schema. Exploited to memory exhaustion.,Memory exhaustion,Sending 50MB JSON body to exhaust RPC memory.
102,JSON-RPC validation failure,JSON-RPC validation failure Variant 102,Missing parameter type check,Node accepts invalid hex payload,JSON-RPC validation failure variant #102: Missing parameter type check caused by Node accepts invalid hex payload. Exploited to node crash.,Node crash,Malformed eth_call payload bypasses validation.
103,JSON-RPC validation failure,JSON-RPC validation failure Variant 103,Malformed payload,Node accepts invalid hex payload,JSON-RPC validation failure variant #103: Malformed payload caused by Node accepts invalid hex payload. Exploited to memory exhaustion.,Memory exhaustion,Malformed eth_call payload bypasses validation.
104,JSON-RPC validation failure,JSON-RPC validation failure Variant 104,Oversized request body,Missing length limit on POST body,JSON-RPC validation failure variant #104: Oversized request body caused by Missing length limit on POST body. Exploited to memory exhaustion.,Memory exhaustion,Sending 50MB JSON body to exhaust RPC memory.
105,JSON-RPC validation failure,JSON-RPC validation failure Variant 105,Invalid method selector,Missing length limit on POST body,JSON-RPC validation failure variant #105: Invalid method selector caused by Missing length limit on POST body. Exploited to node crash.,Node crash,Malformed eth_call payload bypasses validation.
106,JSON-RPC validation failure,JSON-RPC validation failure Variant 106,Missing parameter type check,Node accepts invalid hex payload,JSON-RPC validation failure variant #106: Missing parameter type check caused by Node accepts invalid hex payload. Exploited to node crash.,Node crash,Malformed eth_call payload bypasses validation.
