id,variant_name,type,pattern,scenario,impact,example
37,Reentrancy Variant 37,Withdraw-before-update reentrancy,Recursive callback before mutation,Variant #37: Withdraw-before-update reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Draining rewards pool,Cross-function: deposit() sets state after external token transfer().
38,Reentrancy Variant 38,Cross-function reentrancy,Recursive callback before mutation,Variant #38: Cross-function reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
39,Reentrancy Variant 39,Cross-function reentrancy,Fallback invoked before state lock,Variant #39: Cross-function reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
40,Reentrancy Variant 40,Single-function reentrancy,Unsafe external call to attacker contract,Variant #40: Single-function reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
41,Reentrancy Variant 41,Withdraw-before-update reentrancy,Unsafe external call to attacker contract,Variant #41: Withdraw-before-update reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Bypassing access restrictions,Vault updates shares after sending tokens to attacker contract.
42,Reentrancy Variant 42,Cross-function reentrancy,Missing reentrancy guard,Variant #42: Cross-function reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Bypassing access restrictions,Vault updates shares after sending tokens to attacker contract.
43,Reentrancy Variant 43,Cross-contract reentrancy,Balance checked after transfer,Variant #43: Cross-contract reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Token supply manipulation,Vault updates shares after sending tokens to attacker contract.
44,Reentrancy Variant 44,Single-function reentrancy,Recursive callback before mutation,Variant #44: Single-function reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
45,Reentrancy Variant 45,Read-only reentrancy,External call inside loop,Variant #45: Read-only reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
46,Reentrancy Variant 46,Pull-payment reentrancy,Missing reentrancy guard,Variant #46: Pull-payment reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Draining rewards pool,Vault updates shares after sending tokens to attacker contract.
47,Reentrancy Variant 47,Cross-contract reentrancy,Recursive callback before mutation,Variant #47: Cross-contract reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
48,Reentrancy Variant 48,Read-only reentrancy,Missing reentrancy guard,Variant #48: Read-only reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
49,Reentrancy Variant 49,Read-only reentrancy,Balance checked after transfer,Variant #49: Read-only reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Draining rewards pool,Cross-function: deposit() sets state after external token transfer().
50,Reentrancy Variant 50,Single-function reentrancy,External call inside loop,Variant #50: Single-function reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
51,Reentrancy Variant 51,Reentrancy via delegatecall,Missing reentrancy guard,Variant #51: Reentrancy via delegatecall caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
52,Reentrancy Variant 52,Cross-contract reentrancy,Balance checked after transfer,Variant #52: Cross-contract reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Token supply manipulation,Vault updates shares after sending tokens to attacker contract.
53,Reentrancy Variant 53,Read-only reentrancy,Balance checked after transfer,Variant #53: Read-only reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
54,Reentrancy Variant 54,Withdraw-before-update reentrancy,Multiple entry points sharing same state variable,Variant #54: Withdraw-before-update reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
55,Reentrancy Variant 55,Withdraw-before-update reentrancy,External call inside loop,Variant #55: Withdraw-before-update reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
56,Reentrancy Variant 56,Withdraw-before-update reentrancy,Recursive callback before mutation,Variant #56: Withdraw-before-update reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
57,Reentrancy Variant 57,Withdraw-before-update reentrancy,Missing reentrancy guard,Variant #57: Withdraw-before-update reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
58,Reentrancy Variant 58,Withdraw-before-update reentrancy,Unsafe external call to attacker contract,Variant #58: Withdraw-before-update reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
59,Reentrancy Variant 59,Reentrancy via delegatecall,State updated after external call,Variant #59: Reentrancy via delegatecall caused by State updated after external call. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
60,Reentrancy Variant 60,Pull-payment reentrancy,Missing reentrancy guard,Variant #60: Pull-payment reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
61,Reentrancy Variant 61,Cross-function reentrancy,Recursive callback before mutation,Variant #61: Cross-function reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
62,Reentrancy Variant 62,Cross-contract reentrancy,Multiple entry points sharing same state variable,Variant #62: Cross-contract reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
63,Reentrancy Variant 63,Withdraw-before-update reentrancy,Fallback invoked before state lock,Variant #63: Withdraw-before-update reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Token supply manipulation,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
64,Reentrancy Variant 64,Cross-function reentrancy,Recursive callback before mutation,Variant #64: Cross-function reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
65,Reentrancy Variant 65,State-dependent reentrancy,State updated after external call,Variant #65: State-dependent reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Complete balance drain,Vault updates shares after sending tokens to attacker contract.
66,Reentrancy Variant 66,Cross-contract reentrancy,Upgradeable proxy storage collision,Variant #66: Cross-contract reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
67,Reentrancy Variant 67,State-dependent reentrancy,State updated after external call,Variant #67: State-dependent reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
68,Reentrancy Variant 68,Withdraw-before-update reentrancy,Unsafe external call to attacker contract,Variant #68: Withdraw-before-update reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
69,Reentrancy Variant 69,Withdraw-before-update reentrancy,Multiple entry points sharing same state variable,Variant #69: Withdraw-before-update reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
70,Reentrancy Variant 70,Read-only reentrancy,Balance checked after transfer,Variant #70: Read-only reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Token supply manipulation,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
71,Reentrancy Variant 71,Pull-payment reentrancy,Upgradeable proxy storage collision,Variant #71: Pull-payment reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
72,Reentrancy Variant 72,Cross-function reentrancy,State updated after external call,Variant #72: Cross-function reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
73,Reentrancy Variant 73,Withdraw-before-update reentrancy,Unsafe external call to attacker contract,Variant #73: Withdraw-before-update reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Bypassing access restrictions,Cross-function: deposit() sets state after external token transfer().
74,Reentrancy Variant 74,State-dependent reentrancy,State updated after external call,Variant #74: State-dependent reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
75,Reentrancy Variant 75,Recursive fallback reentrancy,Upgradeable proxy storage collision,Variant #75: Recursive fallback reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
76,Reentrancy Variant 76,Pull-payment reentrancy,Missing reentrancy guard,Variant #76: Pull-payment reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
77,Reentrancy Variant 77,Cross-contract reentrancy,Fallback invoked before state lock,Variant #77: Cross-contract reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Bypassing access restrictions,Vault updates shares after sending tokens to attacker contract.
78,Reentrancy Variant 78,Recursive fallback reentrancy,Upgradeable proxy storage collision,Variant #78: Recursive fallback reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
79,Reentrancy Variant 79,Reentrancy via delegatecall,Recursive callback before mutation,Variant #79: Reentrancy via delegatecall caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Token supply manipulation,Cross-function: deposit() sets state after external token transfer().
80,Reentrancy Variant 80,State-dependent reentrancy,Recursive callback before mutation,Variant #80: State-dependent reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Bypassing access restrictions,Cross-function: deposit() sets state after external token transfer().
81,Reentrancy Variant 81,Reentrancy via delegatecall,Balance checked after transfer,Variant #81: Reentrancy via delegatecall caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Token supply manipulation,Cross-function: deposit() sets state after external token transfer().
82,Reentrancy Variant 82,Read-only reentrancy,Recursive callback before mutation,Variant #82: Read-only reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
83,Reentrancy Variant 83,Read-only reentrancy,Hooks triggered without control flow guard,Variant #83: Read-only reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Bypassing access restrictions,Cross-function: deposit() sets state after external token transfer().
84,Reentrancy Variant 84,Read-only reentrancy,Balance checked after transfer,Variant #84: Read-only reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
85,Reentrancy Variant 85,Cross-function reentrancy,Fallback invoked before state lock,Variant #85: Cross-function reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
86,Reentrancy Variant 86,Read-only reentrancy,External call inside loop,Variant #86: Read-only reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
87,Reentrancy Variant 87,Read-only reentrancy,Fallback invoked before state lock,Variant #87: Read-only reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
88,Reentrancy Variant 88,Pull-payment reentrancy,External call inside loop,Variant #88: Pull-payment reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
89,Reentrancy Variant 89,Pull-payment reentrancy,Recursive callback before mutation,Variant #89: Pull-payment reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
90,Reentrancy Variant 90,Single-function reentrancy,Multiple entry points sharing same state variable,Variant #90: Single-function reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
91,Reentrancy Variant 91,State-dependent reentrancy,Hooks triggered without control flow guard,Variant #91: State-dependent reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
92,Reentrancy Variant 92,ERC777-hook reentrancy,State updated after external call,Variant #92: ERC777-hook reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Token supply manipulation,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
93,Reentrancy Variant 93,Cross-contract reentrancy,Missing reentrancy guard,Variant #93: Cross-contract reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Token supply manipulation,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
94,Reentrancy Variant 94,Cross-contract reentrancy,Missing reentrancy guard,Variant #94: Cross-contract reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Cross-function: deposit() sets state after external token transfer().
95,Reentrancy Variant 95,Cross-function reentrancy,Unsafe external call to attacker contract,Variant #95: Cross-function reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
96,Reentrancy Variant 96,Withdraw-before-update reentrancy,External call inside loop,Variant #96: Withdraw-before-update reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Token supply manipulation,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
97,Reentrancy Variant 97,Cross-contract reentrancy,Upgradeable proxy storage collision,Variant #97: Cross-contract reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
98,Reentrancy Variant 98,ERC777-hook reentrancy,Multiple entry points sharing same state variable,Variant #98: ERC777-hook reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
99,Reentrancy Variant 99,Single-function reentrancy,Recursive callback before mutation,Variant #99: Single-function reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
100,Reentrancy Variant 100,ERC777-hook reentrancy,Multiple entry points sharing same state variable,Variant #100: ERC777-hook reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
101,Reentrancy Variant 101,Recursive fallback reentrancy,Recursive callback before mutation,Variant #101: Recursive fallback reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
102,Reentrancy Variant 102,ERC777-hook reentrancy,Balance checked after transfer,Variant #102: ERC777-hook reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
103,Reentrancy Variant 103,Read-only reentrancy,Hooks triggered without control flow guard,Variant #103: Read-only reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
104,Reentrancy Variant 104,State-dependent reentrancy,Missing reentrancy guard,Variant #104: State-dependent reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Draining rewards pool,Vault updates shares after sending tokens to attacker contract.
105,Reentrancy Variant 105,Withdraw-before-update reentrancy,Hooks triggered without control flow guard,Variant #105: Withdraw-before-update reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
106,Reentrancy Variant 106,Single-function reentrancy,Missing reentrancy guard,Variant #106: Single-function reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
107,Reentrancy Variant 107,Recursive fallback reentrancy,Multiple entry points sharing same state variable,Variant #107: Recursive fallback reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
108,Reentrancy Variant 108,ERC777-hook reentrancy,Fallback invoked before state lock,Variant #108: ERC777-hook reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
109,Reentrancy Variant 109,Read-only reentrancy,Upgradeable proxy storage collision,Variant #109: Read-only reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
110,Reentrancy Variant 110,State-dependent reentrancy,Fallback invoked before state lock,Variant #110: State-dependent reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Token supply manipulation,Vault updates shares after sending tokens to attacker contract.
111,Reentrancy Variant 111,Withdraw-before-update reentrancy,State updated after external call,Variant #111: Withdraw-before-update reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
112,Reentrancy Variant 112,Reentrancy via delegatecall,External call inside loop,Variant #112: Reentrancy via delegatecall caused by External call inside loop. Attacker reenters contract flow before state update.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
113,Reentrancy Variant 113,Recursive fallback reentrancy,External call inside loop,Variant #113: Recursive fallback reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
114,Reentrancy Variant 114,State-dependent reentrancy,State updated after external call,Variant #114: State-dependent reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
115,Reentrancy Variant 115,Cross-function reentrancy,Balance checked after transfer,Variant #115: Cross-function reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
116,Reentrancy Variant 116,Recursive fallback reentrancy,Multiple entry points sharing same state variable,Variant #116: Recursive fallback reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Draining rewards pool,Vault updates shares after sending tokens to attacker contract.
