main_type,component,behavior,condition,test_name,owner,tool,metric,evidence
Governance Policy & Framework,policy_engine,approves_change,on_incident,test_governance_compliance__governance_policy_and_framework__policy_engine__approves_change__on_incident,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,approves_change,on_request,test_governance_compliance__governance_policy_and_framework__policy_engine__approves_change__on_request,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,tracks_exception,during_commit,test_governance_compliance__governance_policy_and_framework__policy_engine__tracks_exception__during_commit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,tracks_exception,before_merge,test_governance_compliance__governance_policy_and_framework__policy_engine__tracks_exception__before_merge,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,tracks_exception,after_deploy,test_governance_compliance__governance_policy_and_framework__policy_engine__tracks_exception__after_deploy,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,tracks_exception,quarterly_audit,test_governance_compliance__governance_policy_and_framework__policy_engine__tracks_exception__quarterly_audit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,tracks_exception,on_incident,test_governance_compliance__governance_policy_and_framework__policy_engine__tracks_exception__on_incident,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,tracks_exception,on_request,test_governance_compliance__governance_policy_and_framework__policy_engine__tracks_exception__on_request,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,verifies_control,during_commit,test_governance_compliance__governance_policy_and_framework__policy_engine__verifies_control__during_commit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,verifies_control,before_merge,test_governance_compliance__governance_policy_and_framework__policy_engine__verifies_control__before_merge,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,verifies_control,after_deploy,test_governance_compliance__governance_policy_and_framework__policy_engine__verifies_control__after_deploy,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,verifies_control,quarterly_audit,test_governance_compliance__governance_policy_and_framework__policy_engine__verifies_control__quarterly_audit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,verifies_control,on_incident,test_governance_compliance__governance_policy_and_framework__policy_engine__verifies_control__on_incident,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,verifies_control,on_request,test_governance_compliance__governance_policy_and_framework__policy_engine__verifies_control__on_request,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,logs_evidence,during_commit,test_governance_compliance__governance_policy_and_framework__policy_engine__logs_evidence__during_commit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,logs_evidence,before_merge,test_governance_compliance__governance_policy_and_framework__policy_engine__logs_evidence__before_merge,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,logs_evidence,after_deploy,test_governance_compliance__governance_policy_and_framework__policy_engine__logs_evidence__after_deploy,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,logs_evidence,quarterly_audit,test_governance_compliance__governance_policy_and_framework__policy_engine__logs_evidence__quarterly_audit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,logs_evidence,on_incident,test_governance_compliance__governance_policy_and_framework__policy_engine__logs_evidence__on_incident,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,logs_evidence,on_request,test_governance_compliance__governance_policy_and_framework__policy_engine__logs_evidence__on_request,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,enforces_rule,during_commit,test_governance_compliance__governance_policy_and_framework__policy_engine__enforces_rule__during_commit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,enforces_rule,before_merge,test_governance_compliance__governance_policy_and_framework__policy_engine__enforces_rule__before_merge,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,enforces_rule,after_deploy,test_governance_compliance__governance_policy_and_framework__policy_engine__enforces_rule__after_deploy,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,enforces_rule,quarterly_audit,test_governance_compliance__governance_policy_and_framework__policy_engine__enforces_rule__quarterly_audit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,enforces_rule,on_incident,test_governance_compliance__governance_policy_and_framework__policy_engine__enforces_rule__on_incident,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,enforces_rule,on_request,test_governance_compliance__governance_policy_and_framework__policy_engine__enforces_rule__on_request,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,validates_signature,during_commit,test_governance_compliance__governance_policy_and_framework__policy_engine__validates_signature__during_commit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,validates_signature,before_merge,test_governance_compliance__governance_policy_and_framework__policy_engine__validates_signature__before_merge,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,validates_signature,after_deploy,test_governance_compliance__governance_policy_and_framework__policy_engine__validates_signature__after_deploy,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,validates_signature,quarterly_audit,test_governance_compliance__governance_policy_and_framework__policy_engine__validates_signature__quarterly_audit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,validates_signature,on_incident,test_governance_compliance__governance_policy_and_framework__policy_engine__validates_signature__on_incident,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,validates_signature,on_request,test_governance_compliance__governance_policy_and_framework__policy_engine__validates_signature__on_request,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,generates_report,during_commit,test_governance_compliance__governance_policy_and_framework__policy_engine__generates_report__during_commit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,generates_report,before_merge,test_governance_compliance__governance_policy_and_framework__policy_engine__generates_report__before_merge,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,generates_report,after_deploy,test_governance_compliance__governance_policy_and_framework__policy_engine__generates_report__after_deploy,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,generates_report,quarterly_audit,test_governance_compliance__governance_policy_and_framework__policy_engine__generates_report__quarterly_audit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,generates_report,on_incident,test_governance_compliance__governance_policy_and_framework__policy_engine__generates_report__on_incident,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,generates_report,on_request,test_governance_compliance__governance_policy_and_framework__policy_engine__generates_report__on_request,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,executes_vote,during_commit,test_governance_compliance__governance_policy_and_framework__policy_engine__executes_vote__during_commit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,executes_vote,before_merge,test_governance_compliance__governance_policy_and_framework__policy_engine__executes_vote__before_merge,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,executes_vote,after_deploy,test_governance_compliance__governance_policy_and_framework__policy_engine__executes_vote__after_deploy,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,executes_vote,quarterly_audit,test_governance_compliance__governance_policy_and_framework__policy_engine__executes_vote__quarterly_audit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,executes_vote,on_incident,test_governance_compliance__governance_policy_and_framework__policy_engine__executes_vote__on_incident,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,executes_vote,on_request,test_governance_compliance__governance_policy_and_framework__policy_engine__executes_vote__on_request,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,trains_user,during_commit,test_governance_compliance__governance_policy_and_framework__policy_engine__trains_user__during_commit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,trains_user,before_merge,test_governance_compliance__governance_policy_and_framework__policy_engine__trains_user__before_merge,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,trains_user,after_deploy,test_governance_compliance__governance_policy_and_framework__policy_engine__trains_user__after_deploy,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,trains_user,quarterly_audit,test_governance_compliance__governance_policy_and_framework__policy_engine__trains_user__quarterly_audit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,trains_user,on_incident,test_governance_compliance__governance_policy_and_framework__policy_engine__trains_user__on_incident,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,policy_engine,trains_user,on_request,test_governance_compliance__governance_policy_and_framework__policy_engine__trains_user__on_request,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,defines_policy,during_commit,test_governance_compliance__governance_policy_and_framework__role_manager__defines_policy__during_commit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,defines_policy,before_merge,test_governance_compliance__governance_policy_and_framework__role_manager__defines_policy__before_merge,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,defines_policy,after_deploy,test_governance_compliance__governance_policy_and_framework__role_manager__defines_policy__after_deploy,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,defines_policy,quarterly_audit,test_governance_compliance__governance_policy_and_framework__role_manager__defines_policy__quarterly_audit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,defines_policy,on_incident,test_governance_compliance__governance_policy_and_framework__role_manager__defines_policy__on_incident,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,defines_policy,on_request,test_governance_compliance__governance_policy_and_framework__role_manager__defines_policy__on_request,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,approves_change,during_commit,test_governance_compliance__governance_policy_and_framework__role_manager__approves_change__during_commit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,approves_change,before_merge,test_governance_compliance__governance_policy_and_framework__role_manager__approves_change__before_merge,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,approves_change,after_deploy,test_governance_compliance__governance_policy_and_framework__role_manager__approves_change__after_deploy,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,approves_change,quarterly_audit,test_governance_compliance__governance_policy_and_framework__role_manager__approves_change__quarterly_audit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,approves_change,on_incident,test_governance_compliance__governance_policy_and_framework__role_manager__approves_change__on_incident,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,approves_change,on_request,test_governance_compliance__governance_policy_and_framework__role_manager__approves_change__on_request,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,tracks_exception,during_commit,test_governance_compliance__governance_policy_and_framework__role_manager__tracks_exception__during_commit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,tracks_exception,before_merge,test_governance_compliance__governance_policy_and_framework__role_manager__tracks_exception__before_merge,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,tracks_exception,after_deploy,test_governance_compliance__governance_policy_and_framework__role_manager__tracks_exception__after_deploy,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,tracks_exception,quarterly_audit,test_governance_compliance__governance_policy_and_framework__role_manager__tracks_exception__quarterly_audit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,tracks_exception,on_incident,test_governance_compliance__governance_policy_and_framework__role_manager__tracks_exception__on_incident,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,tracks_exception,on_request,test_governance_compliance__governance_policy_and_framework__role_manager__tracks_exception__on_request,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,verifies_control,during_commit,test_governance_compliance__governance_policy_and_framework__role_manager__verifies_control__during_commit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,verifies_control,before_merge,test_governance_compliance__governance_policy_and_framework__role_manager__verifies_control__before_merge,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,verifies_control,after_deploy,test_governance_compliance__governance_policy_and_framework__role_manager__verifies_control__after_deploy,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,verifies_control,quarterly_audit,test_governance_compliance__governance_policy_and_framework__role_manager__verifies_control__quarterly_audit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,verifies_control,on_incident,test_governance_compliance__governance_policy_and_framework__role_manager__verifies_control__on_incident,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,verifies_control,on_request,test_governance_compliance__governance_policy_and_framework__role_manager__verifies_control__on_request,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,logs_evidence,during_commit,test_governance_compliance__governance_policy_and_framework__role_manager__logs_evidence__during_commit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,logs_evidence,before_merge,test_governance_compliance__governance_policy_and_framework__role_manager__logs_evidence__before_merge,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,logs_evidence,after_deploy,test_governance_compliance__governance_policy_and_framework__role_manager__logs_evidence__after_deploy,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,logs_evidence,quarterly_audit,test_governance_compliance__governance_policy_and_framework__role_manager__logs_evidence__quarterly_audit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,logs_evidence,on_incident,test_governance_compliance__governance_policy_and_framework__role_manager__logs_evidence__on_incident,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,logs_evidence,on_request,test_governance_compliance__governance_policy_and_framework__role_manager__logs_evidence__on_request,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,enforces_rule,during_commit,test_governance_compliance__governance_policy_and_framework__role_manager__enforces_rule__during_commit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,enforces_rule,before_merge,test_governance_compliance__governance_policy_and_framework__role_manager__enforces_rule__before_merge,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,enforces_rule,after_deploy,test_governance_compliance__governance_policy_and_framework__role_manager__enforces_rule__after_deploy,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,enforces_rule,quarterly_audit,test_governance_compliance__governance_policy_and_framework__role_manager__enforces_rule__quarterly_audit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,enforces_rule,on_incident,test_governance_compliance__governance_policy_and_framework__role_manager__enforces_rule__on_incident,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,enforces_rule,on_request,test_governance_compliance__governance_policy_and_framework__role_manager__enforces_rule__on_request,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,validates_signature,during_commit,test_governance_compliance__governance_policy_and_framework__role_manager__validates_signature__during_commit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,validates_signature,before_merge,test_governance_compliance__governance_policy_and_framework__role_manager__validates_signature__before_merge,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,validates_signature,after_deploy,test_governance_compliance__governance_policy_and_framework__role_manager__validates_signature__after_deploy,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,validates_signature,quarterly_audit,test_governance_compliance__governance_policy_and_framework__role_manager__validates_signature__quarterly_audit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,validates_signature,on_incident,test_governance_compliance__governance_policy_and_framework__role_manager__validates_signature__on_incident,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,validates_signature,on_request,test_governance_compliance__governance_policy_and_framework__role_manager__validates_signature__on_request,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,generates_report,during_commit,test_governance_compliance__governance_policy_and_framework__role_manager__generates_report__during_commit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,generates_report,before_merge,test_governance_compliance__governance_policy_and_framework__role_manager__generates_report__before_merge,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,generates_report,after_deploy,test_governance_compliance__governance_policy_and_framework__role_manager__generates_report__after_deploy,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,generates_report,quarterly_audit,test_governance_compliance__governance_policy_and_framework__role_manager__generates_report__quarterly_audit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,generates_report,on_incident,test_governance_compliance__governance_policy_and_framework__role_manager__generates_report__on_incident,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,generates_report,on_request,test_governance_compliance__governance_policy_and_framework__role_manager__generates_report__on_request,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,executes_vote,during_commit,test_governance_compliance__governance_policy_and_framework__role_manager__executes_vote__during_commit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,executes_vote,before_merge,test_governance_compliance__governance_policy_and_framework__role_manager__executes_vote__before_merge,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,executes_vote,after_deploy,test_governance_compliance__governance_policy_and_framework__role_manager__executes_vote__after_deploy,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,executes_vote,quarterly_audit,test_governance_compliance__governance_policy_and_framework__role_manager__executes_vote__quarterly_audit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,executes_vote,on_incident,test_governance_compliance__governance_policy_and_framework__role_manager__executes_vote__on_incident,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,executes_vote,on_request,test_governance_compliance__governance_policy_and_framework__role_manager__executes_vote__on_request,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,trains_user,during_commit,test_governance_compliance__governance_policy_and_framework__role_manager__trains_user__during_commit,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,trains_user,before_merge,test_governance_compliance__governance_policy_and_framework__role_manager__trains_user__before_merge,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
Governance Policy & Framework,role_manager,trains_user,after_deploy,test_governance_compliance__governance_policy_and_framework__role_manager__trains_user__after_deploy,Security Governance Lead,"OPA, CODEOWNERS, GitHub Protected Branches",policy_coverage_pct,codeowners_version_hash
